dataset,id,filename,ground_truth,method,raw_prediction,predicted_label,confidence,is_correct,is_hallucinated,latency_s,error
dataset2_ai,1,images/01_bat_trang/001_01_bat_trang_01_vase.jpg,Bat Trang,gemini,Jingdezhen Neo-Chinoiserie Export Series,,0.95,False,True,28.47,
dataset2_ai,1,images/01_bat_trang/001_01_bat_trang_01_vase.jpg,Bat Trang,chatgpt,Jingdezhen,,0.85,False,True,7.984,
dataset2_ai,1,images/01_bat_trang/001_01_bat_trang_01_vase.jpg,Bat Trang,grok,Jingdezhen,,0.8,False,True,1.499,
dataset2_ai,1,images/01_bat_trang/001_01_bat_trang_01_vase.jpg,Bat Trang,acis,Jingdezhen Neo-Chinoiserie Export Series,,0.95,False,True,55.405,
dataset2_ai,2,images/01_bat_trang/002_01_bat_trang_02_plate.jpg,Bat Trang,gemini,"Noritake ""Bluebird Serenade"" (Export Line)",,0.8,False,True,78.55,
dataset2_ai,2,images/01_bat_trang/002_01_bat_trang_02_plate.jpg,Bat Trang,chatgpt,McCoy,,0.85,False,True,4.629,
dataset2_ai,2,images/01_bat_trang/002_01_bat_trang_02_plate.jpg,Bat Trang,grok,McCoy,,0.8,False,True,1.549,
dataset2_ai,2,images/01_bat_trang/002_01_bat_trang_02_plate.jpg,Bat Trang,acis,"Noritake ""Bluebird Serenade"" (Export Line)",,0.85,False,True,104.204,
dataset2_ai,3,images/01_bat_trang/003_01_bat_trang_03_bowl.jpg,Bat Trang,gemini,Faïencerie de Gien (Gien Faience),,0.95,False,True,28.947,
dataset2_ai,3,images/01_bat_trang/003_01_bat_trang_03_bowl.jpg,Bat Trang,chatgpt,Gien,,0.85,False,True,9.41,
dataset2_ai,3,images/01_bat_trang/003_01_bat_trang_03_bowl.jpg,Bat Trang,grok,Gien,,0.8,False,True,5.482,
dataset2_ai,3,images/01_bat_trang/003_01_bat_trang_03_bowl.jpg,Bat Trang,acis,Faïencerie de Gien (Gien Faience),,0.95,False,True,64.008,
dataset2_ai,4,images/01_bat_trang/004_01_bat_trang_04_teapot.jpg,Bat Trang,gemini,"Royal Albert ""For All Seasons"" Collection (stylistic inspiration)",,0.95,False,True,67.611,
dataset2_ai,4,images/01_bat_trang/004_01_bat_trang_04_teapot.jpg,Bat Trang,chatgpt,Royal Copenhagen,,0.85,False,True,9.13,
dataset2_ai,4,images/01_bat_trang/004_01_bat_trang_04_teapot.jpg,Bat Trang,grok,Jingdezhen,,0.8,False,True,8.035,
dataset2_ai,4,images/01_bat_trang/004_01_bat_trang_04_teapot.jpg,Bat Trang,acis,Jingdezhen,,0.8,False,True,90.648,
dataset2_ai,5,images/01_bat_trang/005_01_bat_trang_05_storage_jar.jpg,Bat Trang,gemini,Oriental Revival Faience Collection,,0.9,False,True,38.549,
dataset2_ai,5,images/01_bat_trang/005_01_bat_trang_05_storage_jar.jpg,Bat Trang,chatgpt,Jingdezhen,,0.85,False,True,8.52,
dataset2_ai,5,images/01_bat_trang/005_01_bat_trang_05_storage_jar.jpg,Bat Trang,grok,Jingdezhen,,0.8,False,True,4.864,
dataset2_ai,5,images/01_bat_trang/005_01_bat_trang_05_storage_jar.jpg,Bat Trang,acis,Jingdezhen,,0.8,False,True,73.714,
dataset2_ai,6,images/01_bat_trang/006_01_bat_trang_06_cup.jpg,Bat Trang,gemini,Royal Albert - Royal Horticultural Society (RHS) 'Floral & Bird' Series (or similar contemporary heritage-inspired botanical line),,0.85,False,True,53.778,
dataset2_ai,6,images/01_bat_trang/006_01_bat_trang_06_cup.jpg,Bat Trang,chatgpt,Jingdezhen,,0.85,False,True,4.946,
dataset2_ai,6,images/01_bat_trang/006_01_bat_trang_06_cup.jpg,Bat Trang,grok,Jingdezhen,,0.8,False,True,2.633,
dataset2_ai,6,images/01_bat_trang/006_01_bat_trang_06_cup.jpg,Bat Trang,acis,Royal Albert - Royal Horticultural Society (RHS) 'Floral & Bird' Series,,0.85,False,True,74.793,
dataset2_ai,7,images/01_bat_trang/007_01_bat_trang_07_incense_burner.jpg,Bat Trang,gemini,Jingdezhen Wares - Qing Revival Series,,0.9,False,True,28.075,
dataset2_ai,7,images/01_bat_trang/007_01_bat_trang_07_incense_burner.jpg,Bat Trang,chatgpt,Jingdezhen,,0.85,False,True,4.722,
dataset2_ai,7,images/01_bat_trang/007_01_bat_trang_07_incense_burner.jpg,Bat Trang,grok,Jingdezhen,,0.8,False,True,1.574,
dataset2_ai,7,images/01_bat_trang/007_01_bat_trang_07_incense_burner.jpg,Bat Trang,acis,Jingdezhen Wares - Qing Revival Series,,0.9,False,True,49.949,
dataset2_ai,8,images/01_bat_trang/008_01_bat_trang_08_bottle.jpg,Bat Trang,gemini,Jingdezhen Revivalist 'Fugui Xique' Porcelain,,0.95,False,True,26.451,
dataset2_ai,8,images/01_bat_trang/008_01_bat_trang_08_bottle.jpg,Bat Trang,chatgpt,Jingdezhen,,0.85,False,True,3.675,
dataset2_ai,8,images/01_bat_trang/008_01_bat_trang_08_bottle.jpg,Bat Trang,grok,Jingdezhen,,0.8,False,True,1.609,
